股票代码,股票名称,今日收益率,前期下跌,后期上涨,成交量比值,弱转强
USHA605268,王力安防,1.2429378531073585,True,True,19.385123392422663,True
USHA603275,众辰科技,4.316360816748518,True,True,12.189655172413794,True
USHA600493,凤竹纺织,1.3722126929674112,True,True,8.769110764430577,True
USZA002612,朗姿股份,0.9065155807365447,True,True,8.556218905472637,True
USZA002195,岩山科技,-0.6944444444444451,True,True,3.7476656215921484,True
USZA002237,恒邦股份,0.9099181073703335,True,True,3.3674815677143966,True
USZA001212,中旗新材,-1.6521739130434792,True,True,3.3549464066069232,True
USHA603626,科森科技,-2.613636363636368,True,True,2.3668147539759574,True
USZA002396,星网锐捷,-1.3806706114398477,True,True,1.6251470588235295,True
USHA603610,麒盛科技,-1.5698587127158639,True,True,1.0291065775589165,True
USZA002538,司尔特,-1.9011406844106398,True,True,0.30842989767567935,True
